Feature,Importance
Credit_History,0.21166810838933905
TotalIncomeLog,0.20163310615573463
LoanIncomeRatio,0.18060471545045495
LoanAmountLog,0.17109794279236823
Dependents,0.05253716214631657
LoanTermYears,0.04628735417083225
Property_Area_Semiurban,0.028527979285918104
Education_Not Graduate,0.023642709368804513
Property_Area_Urban,0.02189983235026684
Married_Yes,0.021731345190913225
Self_Employed_Yes,0.021206468904144935
Gender_Male,0.019163275794906672
